customer_number,stage_grouped,max_closed_date,cloud_revenue,total_opp_amount,employees,mk_fit_score,industry,ee_count,contacts_count,non_ee_count,emb_world_attendees,email_clicks,a365_new_wb_visits,a365_rest_wb_visits,total_webinars_attended,total_webinar_attendees,assembly_app_events,assembly_app_days_used,comms_events,comms_days_used,libs_events,libs_days_used,manufacturing_events,manufacturing_days_used,mcad_events,mcad_days_used,multi_cad_events,multi_cad_days_used,part_request_events,part_request_days_used,share_events,share_days_used,tasks_events,tasks_days_used,version_control_events,version_control_days_used,web_review_events,web_review_days_used
1458226,lost,7/5/2024,4883.99,4883.99,400,0,Communications,27,104,28,0,315,8,158,5,11,0,0,0,0,1287,16,0,0,11,4,0,0,10,5,92,3,5,2,2111,46,100,23
1787099,lost,4/29/2024,4847,4847,0,0,Industrial/Instrumentation,1,7,2,0,0,0,0,0,0,0,0,0,0,107,10,0,0,0,0,0,0,0,0,0,0,0,0,295,54,315,38
1838110,lost,4/30/2024,1117.99,1117.99,0,0,Service Bureau / Engineering Services,1,2,1,0,4,0,8,0,0,252,9,124,30,4,2,0,0,6,1,0,0,0,0,5,4,6,4,4002,159,2021,71
1608942,lost,5/6/2024,6548,6548,3,0,Industrial/Instrumentation,6,36,10,0,3,1,21,1,2,0,0,29,7,856,60,0,0,0,0,0,0,1,1,3,2,0,0,1593,123,183,27
1357322,lost,6/21/2024,2175.6,1184,5,0,Industrial/Instrumentation,2,10,4,0,0,0,0,0,0,8,5,0,0,1387,55,2,2,0,0,0,0,0,0,1,1,0,0,887,83,663,29
638037,won,4/22/2024,527.99,527.99,23,0,Industrial/Instrumentation,17,51,21,0,32,1,64,2,2,1423,35,19,12,1261,97,85,40,59,6,2,1,7,3,24,16,74,27,3590,135,16391,129
1783802,lost,4/30/2024,1055.99,1055.99,0,0,,0,1,1,0,1,0,0,0,0,0,0,0,0,88,3,0,0,4,2,0,0,0,0,0,0,0,0,24,2,80,4
1867722,lost,5/24/2024,999,999,0,0,Consumer Electronics,0,0,0,0,0,0,4,0,0,12,2,21,7,836,39,4,4,341,21,2,2,13,6,7,4,7,6,2337,114,448,26
243626,lost,9/6/2024,0,28511.99,484,0,Industrial/Instrumentation,8,28,4,0,10,0,10,0,0,2,2,185,34,3028,74,20,8,1,1,0,0,0,0,7,5,0,0,3322,112,1067,68
1846487,won,7/24/2024,0,28511.99,0,0,Medical Device,1,10,1,0,4,0,27,0,0,0,0,1,1,444,27,0,0,65,4,0,0,1,1,5,1,1,1,1401,101,57,8
1769458,lost,6/18/2024,0,26970,0,0,Military/Defense,1,6,5,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2
20258,won,9/24/2024,17705.5,17705.5,20000,0,Service Bureau / Engineering Services,55,183,49,0,363,12,112,7,13,10,7,699,51,21866,104,0,0,1641,65,144,12,79,27,398,54,200,47,29568,139,22027,133
1134942,won,10/8/2024,5065.49,5065.49,48,14,Industrial/Instrumentation,4,14,5,0,5,0,1,1,1,31,2,154,33,1749,80,35,19,7,5,0,0,4,4,16,6,13,4,4744,106,6545,106
178958,lost,10/9/2024,43977,60620.75,400,0,Communications,4,20,14,0,6,0,16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1836703,lost,7/22/2024,48974,48974,0,0,Aerospace,2,16,3,0,11,1,223,0,0,70,19,220,39,1945,130,0,0,1,1,0,0,0,0,176,49,14,4,22272,160,26965,163
1831529,won,6/11/2024,0,28967.83,0,0,Industrial/Instrumentation,5,11,1,0,33,1,8,3,4,7,3,26,8,1531,46,5,5,38,16,1,1,7,5,18,9,124,8,534,93,1874,93
1857188,lost,9/5/2024,5999,5999,0,0,Industrial/Instrumentation,0,0,0,0,13,18,26,1,2,0,0,0,0,33,9,0,0,34,5,0,0,0,0,4,1,0,0,34,7,106,11
1933926,lost,6/12/2024,0,27029.25,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762678,won,9/17/2024,9701.99,9701.99,100,56,Industrial/Instrumentation,9,41,16,0,301,5,69,1,1,19,10,0,0,1114,94,4,3,11,7,0,0,3,3,96,9,1,1,9280,131,2947,110
669300,won,6/29/2024,0,35697.6,17,0,Consulting,2,11,4,0,6,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676726,lost,9/11/2024,8839.99,8839.99,0,73,Medical Device,22,111,43,0,24,50,96,1,1,22,2,7,2,279,30,0,0,5,4,1,1,34,9,17,3,1,1,1670,92,5174,127
1802729,won,6/19/2024,636.02,636.02,51,0,Aerospace,5,34,12,0,10,0,299,0,0,1732,56,1,1,2780,129,49,25,8,5,0,0,2,1,0,0,0,0,4334,134,17023,143
1667223,won,6/29/2024,0,42000,309,0,Aerospace,7,32,6,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618798,lost,7/29/2024,3919.48,3919.49,53,14,Machinery,2,12,6,0,16,1,29,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,1
162965,won,6/25/2024,8000,8000,3440,70,Medical Device,18,70,41,0,15,1,40,2,2,1,1,0,0,47,16,0,0,213,11,0,0,1,1,26,9,0,0,1830,124,391,46
1706842,won,6/28/2024,0,31170,0,0,Service Bureau / Engineering Services,7,19,4,0,39,5,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1837574,lost,6/28/2024,0,26970,0,0,Electronic Component and Semiconductor,1,7,2,0,3,3,8,0,0,0,0,0,0,34,11,0,0,34,5,0,0,0,0,8,2,0,0,54,5,101,19
196152,won,6/26/2024,0,26974,250,0,Medical Device,2,28,13,0,2,0,0,0,0,0,0,0,0,13,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,5,1
